signal,final_correct,n,mean,median,q25,q75,near_zero_frac
H_ans_prior,True,109,0.5919792543532785,0.622355878353118,0.142019182443618,1.058742642402649,0.11926605504587157
H_ans_prior,False,41,0.7989688123144749,0.826162934303283,0.7340847849845881,0.973529279232025,0.0
H_ans_mid,True,109,0.5730089072155155,0.49591642618179305,0.19908100366592402,0.962579250335693,0.12844036697247707
H_ans_mid,False,41,0.853111031215365,0.9266216754913331,0.6831201910972591,1.065424561500549,0.0
H_ans_end,True,109,0.0650463338237499,0.016931418329477,0.006405566819012,0.057187389582395005,0.6880733944954128
H_ans_end,False,41,0.053998689121770665,0.021902281790971003,0.012093733064830001,0.061520934104919,0.6829268292682927
