frac,False,True,gap
0.0,0.7989688123144749,0.5919792543532785,0.20698955796119645
0.1,0.9190752455374086,0.7266778527254901,0.19239739281191848
0.2,0.9422718737183544,0.7215491061808041,0.22072276753755027
0.30000000000000004,0.8964860968110034,0.7367950796978457,0.1596910171131577
0.4,0.8822484875961043,0.6661219713748044,0.21612651622129986
0.5,0.853111031215365,0.5730089072155156,0.28010212399984946
0.6000000000000001,0.7419575475519746,0.5232126246966896,0.21874492285528502
0.7000000000000001,0.6762627313231545,0.4503519390624251,0.2259107922607294
0.8,0.6207277903833036,0.36996176947653675,0.25076602090676686
0.9,0.4243714869385808,0.2450587741396206,0.1793127127989602
1.0,0.053998689121770665,0.0650463338237499,-0.011047644701979234
