conf_bin,n,accuracy,conf_mean,gap
80-84,2,1.0,80.0,-0.19999999999999996
85-89,79,0.5949367088607594,85.0,0.25506329113924053
90-94,3,1.0,90.0,-0.09999999999999998
95-100,66,0.8636363636363636,95.75757575757575,0.09393939393939388
