frac,H_incorrect,H_correct,gap_incorrect_minus_correct
0.0,1.108844657739003,1.1389054426780112,-0.03006078493900821
0.1,1.098074336846669,1.112914117482992,-0.014839780636322963
0.2,1.2146660884221394,1.1670976923062248,0.04756839611591457
0.30000000000000004,0.9752115507920577,1.1203252673149104,-0.14511371652285276
0.4,1.1380301217238105,1.1059312361937297,0.03209888553008078
0.5,1.179733896255493,0.9538347520507297,0.22589914420476342
0.6000000000000001,1.1291490395863848,0.634965681112729,0.4941833584736558
0.7000000000000001,0.9324170748392736,0.4733221833235938,0.4590948915156798
0.8,0.8808641533056892,0.3783686601628473,0.5024954931428419
0.9,0.4973442306121187,0.24546276047252646,0.2518814701395922
1.0,0.031372008146717666,0.04105058326744061,-0.009678575120722947
