frac,n_questions,H_letter_mean,H_letter_median,H_full_mean,confidence_mean,accuracy
0.0,19,1.1294125632235874,1.190163373947143,1.1438336748825872,88.15789473684211,0.5263157894736842
0.1,19,1.1082278709662585,1.1540387868881221,1.1537499647391467,89.47368421052632,0.3157894736842105
0.2,19,1.1821192910796716,1.2114365100860591,1.228793664982444,88.6842105263158,0.42105263157894735
0.30000000000000004,19,1.074499883149799,1.168107032775879,1.1083788432573012,87.36842105263158,0.3684210526315789
0.4,19,1.1160677263611238,1.150210618972778,1.1450029297878863,88.42105263157895,0.47368421052631576
0.5,19,1.0165845143298304,1.1155213713645935,1.049496322870254,89.44444444444444,0.6111111111111112
0.6000000000000001,19,0.7910235837886204,0.932958006858825,0.8110791146755215,91.05263157894737,0.5789473684210527
0.7000000000000001,19,0.6182995174864401,0.707233250141143,0.6300049392800579,92.89473684210526,0.6842105263157895
0.8,19,0.5370514474711132,0.46041604876518205,0.5440110960289047,92.63157894736842,0.6842105263157895
0.9,19,0.3250042773587135,0.16614770889282202,0.3326514822577954,92.89473684210526,0.6842105263157895
1.0,19,0.03799419112405442,0.023207057267427,0.04152318630612558,93.94736842105263,0.6842105263157895
