frac,H_incorrect,H_correct,gap_incorrect_minus_correct
0.0,1.161799699068069,1.1359811929556036,0.02581850611246539
0.1,1.2500683367252348,1.128189270312969,0.12187906641226576
0.2,1.122217416763305,1.107923979942615,0.014293436820689953
0.30000000000000004,1.2408529818058012,1.116343667873969,0.12450931393183207
0.4,1.0365181788802142,0.9779988550222835,0.058519323857930794
0.5,1.1267391145229335,0.943464942849599,0.18327417167333448
0.6000000000000001,1.1343281269073482,0.5295913117722819,0.6047368151350663
0.7000000000000001,0.9114074110984798,0.4817634288651434,0.4296439822333364
0.8,0.9618020132184025,0.28554659336805294,0.6762554198503496
0.9,0.711773136630654,0.11270478439445632,0.5990683522361977
1.0,0.018926688935607252,0.06441887797644454,-0.04549218904083728
