frac,n_questions,H_letter_mean,H_letter_median,H_full_mean,confidence_mean,accuracy
0.0,17,1.1420561355703014,1.190163373947143,1.1554367542266841,88.82352941176471,0.5294117647058824
0.1,17,1.1568666977040905,1.169834613800048,1.2482714442645797,87.6470588235294,0.35294117647058826
0.2,17,1.1112871415474832,1.206183910369873,1.1414867884972513,87.05882352941177,0.47058823529411764
0.30000000000000004,17,1.1456399770344003,1.138364553451538,1.1799527056076946,88.23529411764706,0.4117647058823529
0.4,17,0.9917681076947379,1.139782428741455,1.0102722697398239,90.88235294117646,0.47058823529411764
0.5,17,0.9865882773609718,1.131955742835998,1.0099511909134247,89.41176470588235,0.5882352941176471
0.6000000000000001,17,0.6718823270981799,0.7539813518524171,0.6821117254302778,91.17647058823529,0.7058823529411765
0.7000000000000001,17,0.582856130567105,0.575685501098632,0.5939200375338684,92.6470588235294,0.6470588235294118
0.8,17,0.4446655156857822,0.294498831033706,0.45204244028119434,94.41176470588235,0.7647058823529411
0.9,17,0.2536620437441499,0.061491318047046,0.2587787666467616,95.88235294117646,0.7647058823529411
1.0,17,0.05371483349624753,0.020318593829870002,0.056481516536543826,95.58823529411765,0.7647058823529411
