kbin,final_correct,mean,count
"[0, 400)",False,1.2036688554854618,21
"[0, 400)",True,1.0531612349940194,56
"[400, 800)",False,0.7914826634029543,12
"[400, 800)",True,0.7739000003220454,33
"[800, 1200)",False,0.8398103781044479,5
"[800, 1200)",True,0.4927972971668669,18
"[1200, 1600)",False,0.8793339729309081,1
"[1200, 1600)",True,0.31540557853877493,15
"[1600, 2000)",False,0.6132683753967281,2
"[1600, 2000)",True,0.21708805882371912,8
"[2000, 2400)",False,1.126765489578247,1
"[2000, 2400)",True,0.24918942805379585,6
"[2400, 2800)",False,0.24960319418460103,2
"[2400, 2800)",True,0.1391795925796028,5
"[2800, 3200)",True,0.11847689002752301,1
"[3200, 3600)",True,0.32766968011856,1
